,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Tool,Category,Contract,Run,FOUND,TTD_sec,Timebox_sec,BugArtifacts,Notes,
,,smartian,reentrancy,reentrancy_simple,1,1,0.20,600,1,fast; variant-path; RE,
,,smartian,reentrancy,reentrancy_simple,2,1,0.04,600,1,fast; variant-path; EL-RE,
,,smartian,reentrancy,reentrancy_simple,3,1,1.40,600,1,medium; variant-path; EL-RE,
,,smartian,reentrancy,reentrancy_simple,4,1,0.32,600,1,fast; variant-path; EL-RE,
,,smartian,reentrancy,reentrancy_simple,5,1,0.05,600,1,fast; variant-path; RE,
,,smartian,reentrancy,reentrancy_dao,1,1,0.06,600,2,fast; variant-path; IB+RE,
,,smartian,reentrancy,reentrancy_dao,2,1,0.04,600,2,fast; variant-path; IB+EL-RE,
,,smartian,reentrancy,reentrancy_dao,3,1,0.04,600,2,fast; variant-path; IB+RE,
,,smartian,reentrancy,reentrancy_dao,4,1,0.04,600,2,fast; variant-path; IB+EL-RE,
,,smartian,reentrancy,reentrancy_dao,5,1,0.04,600,2,fast; variant-path; IB+RE,
,,smartian,reentrancy,reentrancy_bonus,1,0,ND,600,0,timeout,
,,smartian,reentrancy,reentrancy_bonus,2,0,ND,600,0,timeout,
,,smartian,reentrancy,reentrancy_bonus,3,0,ND,600,0,timeout,
,,smartian,reentrancy,reentrancy_bonus,4,0,ND,600,0,timeout,
,,smartian,reentrancy,reentrancy_bonus,5,0,ND,600,0,timeout,
,,smartian,arithmetic,integer_overflow_1,1,1,0.00,600,1,fast; same-pattern; IB,Lo trova sotto ad 1 sec e il TTD risulta 0
,,smartian,arithmetic,integer_overflow_1,2,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_1,3,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_1,4,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_1,5,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_mul,1,1,0.00,600,1,fast; same-pattern; IB,Smartian ha detection rate massimo e detection immediata
,,smartian,arithmetic,integer_overflow_mul,2,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_mul,3,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_mul,4,1,0.00,600,1,fast; same-pattern; IB,
,,smartian,arithmetic,integer_overflow_mul,5,1,0.00,600,1,fast; same-pattern; IB,con bassissima variabilità (stesso seed/ID ogni run)
,,smartian,arithmetic,overflow_single_tx,1,1,0.00,600,3,fast; variant-path; IB,
,,smartian,arithmetic,overflow_single_tx,2,1,0.00,600,3,fast; variant-path; IB,
,,smartian,arithmetic,overflow_single_tx,3,1,0.00,600,3,fast; same-pattern; IB,
,,smartian,arithmetic,overflow_single_tx,4,1,0.00,600,3,fast; same-pattern; IB,
,,smartian,arithmetic,overflow_single_tx,5,1,0.00,600,3,fast; same-pattern; IB,
,,smartian,access_control,phishable,1,1,0.00,600,1,fast; same-pattern; TO,
,,smartian,access_control,phishable,2,1,0.00,600,1,fast; same-pattern; TO,
,,smartian,access_control,phishable,3,1,0.00,600,1,fast; same-pattern; TO,
,,smartian,access_control,phishable,4,1,0.00,600,1,fast; same-pattern; TO,
,,smartian,access_control,phishable,5,1,0.00,600,0,fast; same-pattern; TO; artifact-missing,
,,smartian,access_control,unprotected0,1,0,ND,600,0,timeout; no-finding,
,,smartian,access_control,unprotected0,2,0,ND,600,0,timeout; no-finding,
,,smartian,access_control,unprotected0,3,0,ND,600,0,timeout; no-finding,
,,smartian,access_control,unprotected0,4,0,ND,600,0,timeout; no-finding,
,,smartian,access_control,unprotected0,5,0,ND,600,0,timeout; no-finding,
,,smartian,access_control,incorrect_constructor_name1,1,1,0.02,600,1,fast; variant-path; EL; unexpected,Cercavamo TO ma ha rilevato EL 
,,smartian,access_control,incorrect_constructor_name1,2,1,0.00,600,1,fast; variant-path; EL; unexpected,
,,smartian,access_control,incorrect_constructor_name1,3,1,0.01,600,1,fast; variant-path; EL; unexpected,
,,smartian,access_control,incorrect_constructor_name1,4,1,0.08,600,1,fast; variant-path; EL; unexpected,
,,smartian,access_control,incorrect_constructor_name1,5,1,0.13,600,1,fast; variant-path; EL; unexpected,
,,smartian,control-safe,MyVault,1,0,ND,600,0,Proved safe; Ported to 0.4.26 for tool compatibility; 698k execs,
,,smartian,control-safe,MyVault,1,0,ND,600,0,Proved safe; Ported to 0.4.26 for tool compatibility; 698k execs,
,,smartian,control-safe,MyVault,1,0,ND,600,0,Proved safe; Ported to 0.4.26 for tool compatibility; 698k execs,
,,smartian,control-safe,MyVault,1,0,ND,600,0,Proved safe; Ported to 0.4.26 for tool compatibility; 698k execs,
,,smartian,control-safe,MyVault,1,0,ND,600,0,Proved safe; Ported to 0.4.26 for tool compatibility; 698k execs,
,,smartian,control-safe,ERC20,1,0,ND,600,0,Proved safe; Ported to 0.4.26; 392k execs; logic verified,
,,smartian,control-safe,ERC20,1,0,ND,600,0,Proved safe; Ported to 0.4.26; 392k execs; logic verified,
,,smartian,control-safe,ERC20,1,0,ND,600,0,Proved safe; Ported to 0.4.26; 392k execs; logic verified,
,,smartian,control-safe,ERC20,1,0,ND,600,0,Proved safe; Ported to 0.4.26; 392k execs; logic verified,
,,smartian,control-safe,ERC20,1,0,ND,600,0,Proved safe; Ported to 0.4.26; 392k execs; logic verified,
,,smartian,control,ReentrancyGuard,1,1,4.00,600,1,Ported to 0.4.26; EL found (expected for open withdraw logic); No RE found FALSE POSITIVE,
,,smartian,control,ReentrancyGuard,2,0,ND,600,1,Ported to 0.4.26; EL found (expected for open withdraw logic); No RE found FALSE POSITIVE,
,,smartian,control,ReentrancyGuard,3,0,ND,600,1,Ported to 0.4.26;,
,,smartian,control,ReentrancyGuard,4,0,ND,600,1,Ported to 0.4.26;,
,,smartian,control,ReentrancyGuard,5,0,ND,600,1,Ported to 0.4.26;,